Country,Cities,Day,Time,Date,Temperature,Hour,Time_Slot,Coolest
United Arab Emirates,Abu Dhabi,Wednesday,17:29:00,2026-01-14,27,17,Afternoon,0
Nicaragua,Managua,Wednesday,07:29:00,2026-01-14,23,7,Morning,0
Ghana,Accra,Wednesday,13:29:00,2026-01-14,31,13,Afternoon,0
Bahrain,Manama,Wednesday,16:29:00,2026-01-14,22,16,Afternoon,0
Ethiopia,Addis Ababa,Wednesday,16:29:00,2026-01-14,23,16,Afternoon,0
Philippines,Manila,Wednesday,21:29:00,2026-01-14,26,21,Evening,0
Algeria,Algiers,Wednesday,14:29:00,2026-01-14,19,14,Afternoon,0
Mozambique,Maputo,Wednesday,15:29:00,2026-01-14,25,15,Afternoon,0
Niue,Alofi,Wednesday,02:29:00,2026-01-14,24,2,Night,0
Lesotho,Maseru,Wednesday,15:29:00,2026-01-14,28,15,Afternoon,0
Jordan,Amman,Wednesday,16:29:00,2026-01-14,9,16,Afternoon,0
Eswatini,Mbabane,Wednesday,15:29:00,2026-01-14,22,15,Afternoon,0
Netherlands,Amsterdam,Wednesday,14:29:00,2026-01-14,7,14,Afternoon,0
United States,Amsterdam,Wednesday,14:29:00,2026-01-14,7,14,Afternoon,0
Mexico,Mexico City,Wednesday,07:29:00,2026-01-14,11,7,Morning,0
Turkey,Ankara,Wednesday,16:29:00,2026-01-14,2,16,Afternoon,0
Belarus,Minsk,Wednesday,16:29:00,2026-01-14,14,16,Afternoon,0
Madagascar,Antananarivo,Wednesday,16:29:00,2026-01-14,27,16,Afternoon,0
Samoa,Apia,Thursday,02:29:00,2026-01-15,26,2,Night,0
Turkmenistan,Ashgabat,Wednesday,18:29:00,2026-01-14,15,18,Evening,0
Kazakhstan,Astana,Wednesday,18:29:00,2026-01-14,25,18,Evening,0
Russia,Moscow,Wednesday,16:29:00,2026-01-14,4,16,Afternoon,0
United States,Moscow,Wednesday,16:29:00,2026-01-14,4,16,Afternoon,0
Oman,Muscat,Wednesday,17:29:00,2026-01-14,24,17,Afternoon,0
Greece,Athens,Wednesday,15:29:00,2026-01-14,15,15,Afternoon,0
United States,Athens,Wednesday,15:29:00,2026-01-14,15,15,Afternoon,0
United States,Athens,Wednesday,15:29:00,2026-01-14,15,15,Afternoon,0
United States,Athens,Wednesday,15:29:00,2026-01-14,15,15,Afternoon,0
United States,Athens,Wednesday,15:29:00,2026-01-14,15,15,Afternoon,0
United States,Athens,Wednesday,15:29:00,2026-01-14,15,15,Afternoon,0
Azerbaijan,Baku,Wednesday,17:29:00,2026-01-14,4,17,Afternoon,0
Kenya,Nairobi,Wednesday,16:29:00,2026-01-14,26,16,Afternoon,0
Mali,Bamako,Wednesday,13:29:00,2026-01-14,35,13,Afternoon,0
"Bahamas, The",Nassau,Wednesday,08:29:00,2026-01-14,22,8,Morning,0
Brunei,Bandar Seri Begawan,Wednesday,21:29:00,2026-01-14,24,21,Evening,0
India,New Delhi,Wednesday,18:59:00,2026-01-14,16,18,Evening,0
Thailand,Bangkok,Wednesday,20:29:00,2026-01-14,28,20,Evening,0
Palau,Ngerulmud,Wednesday,22:29:00,2026-01-14,28,22,Evening,0
Central African Republic,Bangui,Wednesday,14:29:00,2026-01-14,36,14,Afternoon,0
Philippines,Bangui,Wednesday,14:29:00,2026-01-14,36,14,Afternoon,0
Niger,Niamey,Wednesday,14:29:00,2026-01-14,32,14,Afternoon,0
"Gambia, The",Banjul,Wednesday,13:29:00,2026-01-14,29,13,Afternoon,0
Cyprus,Nicosia,Wednesday,15:29:00,2026-01-14,13,15,Afternoon,0
Italy,Nicosia,Wednesday,15:29:00,2026-01-14,13,15,Afternoon,0
Saint Kitts and Nevis,Basseterre,Wednesday,09:29:00,2026-01-14,28,9,Morning,0
China,Beijing,Wednesday,21:29:00,2026-01-14,2,21,Evening,0
Lebanon,Beirut,Wednesday,15:29:00,2026-01-14,15,15,Afternoon,0
Greenland,Nuuk,Wednesday,11:29:00,2026-01-14,1,11,Morning,0
Serbia,Belgrade,Wednesday,14:29:00,2026-01-14,9,14,Afternoon,0
United States,Belgrade,Wednesday,14:29:00,2026-01-14,9,14,Afternoon,0
Aruba,Oranjestad,Wednesday,09:29:00,2026-01-14,27,9,Morning,0
"Bonaire, Sint Eustatius, and Saba",Oranjestad,Wednesday,09:29:00,2026-01-14,27,9,Morning,0
Belize,Belmopan,Wednesday,07:29:00,2026-01-14,21,7,Morning,0
Norway,Oslo,Wednesday,14:29:00,2026-01-14,1,14,Afternoon,0
Germany,Berlin,Wednesday,14:29:00,2026-01-14,6,14,Afternoon,0
United States,Berlin,Wednesday,14:29:00,2026-01-14,6,14,Afternoon,0
Canada,Ottawa,Wednesday,08:29:00,2026-01-14,3,8,Morning,0
United States,Ottawa,Wednesday,08:29:00,2026-01-14,3,8,Morning,0
United States,Ottawa,Wednesday,08:29:00,2026-01-14,3,8,Morning,0
Switzerland,Bern,Wednesday,14:29:00,2026-01-14,9,14,Afternoon,0
"Micronesia, Federated States of",Palikir,Thursday,00:29:00,2026-01-15,28,0,Night,0
Kyrgyzstan,Bishkek,Wednesday,19:29:00,2026-01-14,0,19,Evening,1
Guinea-Bissau,Bissau,Wednesday,13:29:00,2026-01-14,32,13,Afternoon,0
Suriname,Paramaribo,Wednesday,10:29:00,2026-01-14,27,10,Morning,0
United States,Bogota,Wednesday,08:29:00,2026-01-14,14,8,Morning,0
France,Paris,Wednesday,14:29:00,2026-01-14,12,14,Afternoon,0
United States,Paris,Wednesday,14:29:00,2026-01-14,12,14,Afternoon,0
Canada,Paris,Wednesday,14:29:00,2026-01-14,12,14,Afternoon,0
United States,Paris,Wednesday,14:29:00,2026-01-14,12,14,Afternoon,0
United States,Paris,Wednesday,14:29:00,2026-01-14,12,14,Afternoon,0
Montserrat,Brades,Wednesday,09:29:00,2026-01-14,26,9,Morning,0
Montenegro,Podgorica,Wednesday,14:29:00,2026-01-14,9,14,Afternoon,0
Mauritius,Port Louis,Wednesday,17:29:00,2026-01-14,25,17,Afternoon,0
Slovakia,Bratislava,Wednesday,14:29:00,2026-01-14,3,14,Afternoon,0
Congo (Brazzaville),Brazzaville,Wednesday,14:29:00,2026-01-14,33,14,Afternoon,0
Barbados,Bridgetown,Wednesday,09:29:00,2026-01-14,27,9,Morning,0
United States,Bridgetown,Wednesday,09:29:00,2026-01-14,27,9,Morning,0
Cabo Verde,Porto Novo,Wednesday,14:29:00,2026-01-14,31,14,Afternoon,0
Belgium,Brussels,Wednesday,14:29:00,2026-01-14,7,14,Afternoon,0
Czechia,Prague,Wednesday,14:29:00,2026-01-14,4,14,Afternoon,0
Romania,Bucharest,Wednesday,15:29:00,2026-01-14,1,15,Afternoon,0
